trip_id,start_time_filled,end_time_filled,headway_secs
TRIP1,6:15:00,6:15:00,0
TRIP2,NaT,7:10:00,
TRIP3,6:45:00,7:15:00,1800
TRIP4,NaT,7:55:00,
TRIP5,7:15:00,7:45:00,1800
TRIP6,NaT,8:25:00,
TRIP7,7:45:00,8:15:00,1800
TRIP8,NaT,8:55:00,
TRIP9,8:05:00,8:25:00,1200
TRIP10,NaT,9:15:00,
TRIP11,8:35:00,9:05:00,1800
TRIP12,NaT,9:45:00,
TRIP13,8:55:00,9:15:00,1200
TRIP14,NaT,10:05:00,
TRIP15,9:15:00,9:35:00,1200
TRIP16,NaT,10:25:00,
TRIP17,9:35:00,9:55:00,1200
TRIP18,NaT,10:45:00,
TRIP19,9:55:00,10:15:00,1200
TRIP20,NaT,11:05:00,
TRIP21,10:15:00,10:35:00,1200
TRIP22,NaT,11:25:00,
TRIP23,10:35:00,10:55:00,1200
TRIP24,NaT,11:45:00,
TRIP25,11:05:00,11:35:00,1800
TRIP26,NaT,12:15:00,
TRIP27,11:35:00,12:05:00,1800
TRIP28,NaT,12:45:00,
TRIP29,12:05:00,12:35:00,1800
TRIP30,NaT,13:15:00,
TRIP31,12:20:00,12:35:00,900
TRIP32,NaT,13:30:00,
TRIP33,12:50:00,13:20:00,1800
TRIP34,NaT,14:00:00,
TRIP35,13:20:00,13:50:00,1800
TRIP36,NaT,14:30:00,
TRIP37,13:50:00,14:20:00,1800
TRIP38,NaT,15:00:00,
TRIP39,14:20:00,14:50:00,1800
TRIP40,NaT,15:30:00,
TRIP41,14:50:00,15:20:00,1800
TRIP42,NaT,16:00:00,
TRIP43,15:20:00,15:50:00,1800
TRIP44,NaT,16:30:00,
TRIP45,15:40:00,16:00:00,1200
TRIP46,NaT,16:50:00,
TRIP47,16:00:00,16:20:00,1200
TRIP48,NaT,17:10:00,
TRIP49,16:20:00,16:40:00,1200
TRIP50,NaT,17:30:00,
TRIP51,16:40:00,17:00:00,1200
TRIP52,NaT,17:50:00,
TRIP53,17:00:00,17:20:00,1200
TRIP54,NaT,18:10:00,
TRIP55,17:20:00,17:40:00,1200
TRIP56,NaT,18:30:00,
TRIP57,17:40:00,18:00:00,1200
TRIP58,NaT,18:50:00,
TRIP59,18:15:00,18:50:00,2100
TRIP60,NaT,19:25:00,
TRIP61,18:35:00,18:55:00,1200
TRIP62,NaT,19:45:00,
TRIP63,19:05:00,19:35:00,1800
TRIP64,NaT,20:15:00,
TRIP65,19:30:00,19:55:00,1500
TRIP66,NaT,20:40:00,
TRIP67,19:50:00,20:10:00,1200
TRIP68,NaT,21:00:00,
TRIP69,20:10:00,20:30:00,1200
TRIP70,NaT,21:20:00,
TRIP71,20:30:00,20:50:00,1200
TRIP72,NaT,21:40:00,
TRIP73,21:00:00,21:30:00,1800
TRIP74,NaT,22:10:00,
TRIP75,21:35:00,22:10:00,2100
TRIP76,NaT,22:35:00,
TRIP77,22:05:00,22:35:00,1800
TRIP78,NaT,23:15:00,
TRIP79,22:45:00,23:25:00,2400
TRIP80,NaT,23:45:00,
