route_id,service_id,trip_id,direction_id
ROUTE1,WEEKDAY,TRIP1,0
ROUTE1,WEEKDAY,TRIP2,1
ROUTE1,WEEKDAY,TRIP3,0
ROUTE1,WEEKDAY,TRIP4,1
ROUTE1,WEEKDAY,TRIP5,0
ROUTE1,WEEKDAY,TRIP6,1
ROUTE1,WEEKDAY,TRIP7,0
ROUTE1,WEEKDAY,TRIP8,1
ROUTE1,WEEKDAY,TRIP9,0
ROUTE1,WEEKDAY,TRIP10,1
ROUTE1,WEEKDAY,TRIP11,0
ROUTE1,WEEKDAY,TRIP12,1
ROUTE1,WEEKDAY,TRIP13,0
ROUTE1,WEEKDAY,TRIP14,1
ROUTE1,WEEKDAY,TRIP15,0
ROUTE1,WEEKDAY,TRIP16,1
ROUTE1,WEEKDAY,TRIP17,0
ROUTE1,WEEKDAY,TRIP18,1
ROUTE1,WEEKDAY,TRIP19,0
ROUTE1,WEEKDAY,TRIP20,1
ROUTE1,WEEKDAY,TRIP21,0
ROUTE1,WEEKDAY,TRIP22,1
ROUTE1,WEEKDAY,TRIP23,0
ROUTE1,WEEKDAY,TRIP24,1
ROUTE1,WEEKDAY,TRIP25,0
ROUTE1,WEEKDAY,TRIP26,1
ROUTE1,WEEKDAY,TRIP27,0
ROUTE1,WEEKDAY,TRIP28,1
ROUTE1,WEEKDAY,TRIP29,0
ROUTE1,WEEKDAY,TRIP30,1
ROUTE1,WEEKDAY,TRIP31,0
ROUTE1,WEEKDAY,TRIP32,1
ROUTE1,WEEKDAY,TRIP33,0
ROUTE1,WEEKDAY,TRIP34,1
ROUTE1,WEEKDAY,TRIP35,0
ROUTE1,WEEKDAY,TRIP36,1
ROUTE1,WEEKDAY,TRIP37,0
ROUTE1,WEEKDAY,TRIP38,1
ROUTE1,WEEKDAY,TRIP39,0
ROUTE1,WEEKDAY,TRIP40,1
ROUTE1,WEEKDAY,TRIP41,0
ROUTE1,WEEKDAY,TRIP42,1
ROUTE1,WEEKDAY,TRIP43,0
ROUTE1,WEEKDAY,TRIP44,1
ROUTE1,WEEKDAY,TRIP45,0
ROUTE1,WEEKDAY,TRIP46,1
ROUTE1,WEEKDAY,TRIP47,0
ROUTE1,WEEKDAY,TRIP48,1
ROUTE1,WEEKDAY,TRIP49,0
ROUTE1,WEEKDAY,TRIP50,1
ROUTE1,WEEKDAY,TRIP51,0
ROUTE1,WEEKDAY,TRIP52,1
ROUTE1,WEEKDAY,TRIP53,0
ROUTE1,WEEKDAY,TRIP54,1
ROUTE1,WEEKDAY,TRIP55,0
ROUTE1,WEEKDAY,TRIP56,1
ROUTE1,WEEKDAY,TRIP57,0
ROUTE1,WEEKDAY,TRIP58,1
ROUTE1,WEEKDAY,TRIP59,0
ROUTE1,WEEKDAY,TRIP60,1
ROUTE1,WEEKDAY,TRIP61,0
ROUTE1,WEEKDAY,TRIP62,1
ROUTE1,WEEKDAY,TRIP63,0
ROUTE1,WEEKDAY,TRIP64,1
ROUTE1,WEEKDAY,TRIP65,0
ROUTE1,WEEKDAY,TRIP66,1
ROUTE1,WEEKDAY,TRIP67,0
ROUTE1,WEEKDAY,TRIP68,1
ROUTE1,WEEKDAY,TRIP69,0
ROUTE1,WEEKDAY,TRIP70,1
ROUTE1,WEEKDAY,TRIP71,0
ROUTE1,WEEKDAY,TRIP72,1
ROUTE1,WEEKDAY,TRIP73,0
ROUTE1,WEEKDAY,TRIP74,1
ROUTE1,WEEKDAY,TRIP75,0
ROUTE1,WEEKDAY,TRIP76,1
ROUTE1,WEEKDAY,TRIP77,0
ROUTE1,WEEKDAY,TRIP78,1
ROUTE1,WEEKDAY,TRIP79,0
ROUTE1,WEEKDAY,TRIP80,1
