trip_id,start_time_filled,end_time_filled,headway_secs
Trip_1,06:15:00,06:15:00,0.0
Trip_2,NaT,07:10:00,
Trip_3,06:45:00,07:15:00,1800.0
Trip_4,NaT,07:55:00,
Trip_5,07:15:00,07:45:00,1800.0
Trip_6,NaT,08:25:00,
Trip_7,07:45:00,08:15:00,1800.0
Trip_8,NaT,08:55:00,
Trip_9,08:05:00,08:25:00,1200.0
Trip_10,NaT,09:15:00,
Trip_11,08:35:00,09:05:00,1800.0
Trip_12,NaT,09:45:00,
Trip_13,08:55:00,09:15:00,1200.0
Trip_14,NaT,10:05:00,
Trip_15,09:15:00,09:35:00,1200.0
Trip_16,NaT,10:25:00,
Trip_17,09:35:00,09:55:00,1200.0
Trip_18,NaT,10:45:00,
Trip_19,09:55:00,10:15:00,1200.0
Trip_20,NaT,11:05:00,
Trip_21,10:15:00,10:35:00,1200.0
Trip_22,NaT,11:25:00,
Trip_23,10:35:00,10:55:00,1200.0
Trip_24,NaT,11:45:00,
Trip_25,11:05:00,11:35:00,1800.0
Trip_26,NaT,12:15:00,
Trip_27,11:35:00,12:05:00,1800.0
Trip_28,NaT,12:45:00,
Trip_29,12:05:00,12:35:00,1800.0
Trip_30,NaT,13:15:00,
Trip_31,12:20:00,12:35:00,900.0
Trip_32,NaT,13:30:00,
Trip_33,12:50:00,13:20:00,1800.0
Trip_34,NaT,14:00:00,
Trip_35,13:20:00,13:50:00,1800.0
Trip_36,NaT,14:30:00,
Trip_37,13:50:00,14:20:00,1800.0
Trip_38,NaT,15:00:00,
Trip_39,14:20:00,14:50:00,1800.0
Trip_40,NaT,15:30:00,
Trip_41,14:50:00,15:20:00,1800.0
Trip_42,NaT,16:00:00,
Trip_43,15:20:00,15:50:00,1800.0
Trip_44,NaT,16:30:00,
Trip_45,15:40:00,16:00:00,1200.0
Trip_46,NaT,16:50:00,
Trip_47,16:00:00,16:20:00,1200.0
Trip_48,NaT,17:10:00,
Trip_49,16:20:00,16:40:00,1200.0
Trip_50,NaT,17:30:00,
Trip_51,16:40:00,17:00:00,1200.0
Trip_52,NaT,17:50:00,
Trip_53,17:00:00,17:20:00,1200.0
Trip_54,NaT,18:10:00,
Trip_55,17:20:00,17:40:00,1200.0
Trip_56,NaT,18:30:00,
Trip_57,17:40:00,18:00:00,1200.0
Trip_58,NaT,18:50:00,
Trip_59,18:15:00,18:50:00,2100.0
Trip_60,NaT,19:25:00,
Trip_61,18:35:00,18:55:00,1200.0
Trip_62,NaT,19:45:00,
Trip_63,19:05:00,19:35:00,1800.0
Trip_64,NaT,20:15:00,
Trip_65,19:30:00,19:55:00,1500.0
Trip_66,NaT,20:40:00,
Trip_67,19:50:00,20:10:00,1200.0
Trip_68,NaT,21:00:00,
Trip_69,20:10:00,20:30:00,1200.0
Trip_70,NaT,21:20:00,
Trip_71,20:30:00,20:50:00,1200.0
Trip_72,NaT,21:40:00,
Trip_73,21:00:00,21:30:00,1800.0
Trip_74,NaT,22:10:00,
Trip_75,21:35:00,22:10:00,2100.0
Trip_76,NaT,22:35:00,
Trip_77,22:05:00,22:35:00,1800.0
Trip_78,NaT,23:15:00,
Trip_79,22:45:00,23:25:00,2400.0
Trip_80,NaT,23:45:00,
